iter	MultiClass
0	1.075284187
1	1.057869226
2	1.042330484
3	1.029076955
4	1.019435496
5	1.009693786
6	0.9995502167
7	0.9918214277
8	0.9836477804
9	0.9761815241
10	0.9674225112
11	0.958791587
12	0.9534147073
13	0.9485414494
14	0.943446845
15	0.9373698486
16	0.9316109244
17	0.9271284735
18	0.922180706
19	0.918149422
20	0.914924393
21	0.9107969851
22	0.9053322257
23	0.9007183614
24	0.8956492043
25	0.8902808788
26	0.8857563641
27	0.8813059241
28	0.8770653295
29	0.8735665229
30	0.8692518293
31	0.8666740748
32	0.8601378712
33	0.855521348
34	0.8514023416
35	0.8487488396
36	0.8452719701
37	0.8411539621
38	0.8362589937
39	0.8324131246
40	0.8291758503
41	0.8248246304
42	0.8220332009
43	0.8198483369
44	0.8169523522
45	0.8132124907
46	0.8107187003
47	0.8076102597
48	0.8056691958
49	0.8022274748
50	0.8005528988
51	0.7964988985
52	0.7926885617
53	0.788547307
54	0.7865370367
55	0.7846509801
56	0.7822943835
57	0.7783200772
58	0.7731267498
59	0.7692827729
60	0.7669765388
61	0.7631945546
62	0.7607395004
63	0.7576211131
64	0.7554308409
65	0.7512646823
66	0.7456725898
67	0.7415712839
68	0.7374623299
69	0.7350980413
70	0.7321530589
71	0.727589038
72	0.724135507
73	0.720592125
74	0.7163133065
75	0.7131174961
76	0.7091789517
77	0.707220402
78	0.7044811497
79	0.7001404988
80	0.6972382137
81	0.6948161278
82	0.6910454175
83	0.6878064756
84	0.6843976087
85	0.6808807446
86	0.6784684094
87	0.675271332
88	0.6726080483
89	0.6700965454
90	0.6675182669
91	0.6632010629
92	0.6603373689
93	0.6571091376
94	0.6550242364
95	0.6523126355
96	0.6484357707
97	0.64569276
98	0.6443676731
99	0.6411306458
100	0.6384967789
101	0.6359066781
102	0.6315437595
103	0.6291890154
104	0.6266104505
105	0.6241250409
106	0.6222595457
107	0.6184145747
108	0.6157516852
109	0.6117052663
110	0.6095031445
111	0.6065911158
112	0.6046751113
113	0.6012129076
114	0.5995197128
115	0.5960973241
116	0.5931766934
117	0.5901372156
118	0.5882109048
119	0.5850607907
120	0.5814677602
121	0.5800931645
122	0.5779610468
123	0.5751574062
124	0.5729911285
125	0.5711737544
126	0.5686328694
127	0.5664383478
128	0.5634576172
129	0.5609243744
130	0.5591188215
131	0.5569036599
132	0.5536896266
133	0.5510346051
134	0.5483056038
135	0.5460692293
136	0.5441138065
137	0.5423960897
138	0.5396533897
139	0.5380660783
140	0.5352223281
141	0.5339379193
142	0.5324311663
143	0.5303626649
144	0.5282776741
145	0.5270930562
146	0.5253928715
147	0.523213433
148	0.5223081183
149	0.5200426972
150	0.5172709004
151	0.5155928976
152	0.5141101659
153	0.5119077452
154	0.5106718232
155	0.5087053513
156	0.5078147755
157	0.5061755689
158	0.504468851
159	0.5032588017
160	0.5024364174
161	0.4999181486
162	0.4975674543
163	0.4953190767
164	0.4936421399
165	0.4925381461
166	0.4915109519
167	0.4893315326
168	0.486711677
169	0.4852188672
170	0.4841983605
171	0.4823797439
172	0.4799374146
173	0.479024201
174	0.4771389229
175	0.4760979802
176	0.4743795348
177	0.47210763
178	0.4700123855
179	0.4671298319
180	0.4663910841
181	0.4641984597
182	0.4635899798
183	0.4623925476
184	0.461155197
185	0.4593238159
186	0.4577441558
187	0.4558425306
188	0.4547617012
189	0.4530687462
190	0.4505529684
191	0.4489456769
192	0.4473424591
193	0.4454204722
194	0.4433455094
195	0.441133899
196	0.439693988
197	0.4380323089
198	0.4362413467
199	0.4345555544
