iter	Passed	Remaining
0	98	19528
1	100	9953
2	102	6755
3	105	5172
4	108	4218
5	110	3575
6	112	3115
7	115	2772
8	118	2511
9	120	2294
10	123	2115
11	125	1967
12	129	1857
13	131	1749
14	134	1655
15	136	1572
16	141	1527
17	145	1469
18	147	1409
19	150	1355
20	153	1305
21	155	1258
22	157	1215
23	160	1178
24	163	1142
25	165	1108
26	168	1076
27	170	1048
28	173	1022
29	175	997
30	178	972
31	181	952
32	183	930
33	186	909
34	188	889
35	191	872
36	193	854
37	196	837
38	198	820
39	201	805
40	204	792
41	206	777
42	209	763
43	211	749
44	214	739
45	217	726
46	219	714
47	221	702
48	224	692
49	227	681
50	229	670
51	232	660
52	235	652
53	237	642
54	240	633
55	242	623
56	245	616
57	248	607
58	250	599
59	253	590
60	255	582
61	258	575
62	260	567
63	263	559
64	265	551
65	268	545
66	271	538
67	273	530
68	275	523
69	278	517
70	281	510
71	283	504
72	285	497
73	288	492
74	291	485
75	293	479
76	296	473
77	298	467
78	301	461
79	303	455
80	306	450
81	308	444
82	311	439
83	313	433
84	316	427
85	318	422
86	321	417
87	323	412
88	326	406
89	329	402
90	332	398
91	335	393
92	338	388
93	342	386
94	346	383
95	350	379
96	354	376
97	357	372
98	361	368
99	367	367
100	370	363
101	374	359
102	378	356
103	381	351
104	384	347
105	389	345
106	392	341
107	396	337
108	400	334
109	404	331
110	408	327
111	411	323
112	414	318
113	417	315
114	420	310
115	422	306
116	425	301
117	427	297
118	430	293
119	432	288
120	435	284
121	437	279
122	440	275
123	442	271
124	445	267
125	447	262
126	449	258
127	452	254
128	454	250
129	457	246
130	459	242
131	463	238
132	465	234
133	468	230
134	470	226
135	473	222
136	475	218
137	478	214
138	480	210
139	483	207
140	485	203
141	487	199
142	490	195
143	493	191
144	495	187
145	497	184
146	500	180
147	503	176
148	505	172
149	508	169
150	510	165
151	513	162
152	515	158
153	518	154
154	520	151
155	523	147
156	525	144
157	528	140
158	530	136
159	533	133
160	535	129
161	538	126
162	541	122
163	544	119
164	546	115
165	548	112
166	551	108
167	554	105
168	556	102
169	559	98
170	561	95
171	564	91
172	566	88
173	569	85
174	571	81
175	574	78
176	576	74
177	579	71
178	582	68
179	585	65
180	587	61
181	590	58
182	593	55
183	595	51
184	598	48
185	601	45
186	603	41
187	606	38
188	608	35
189	611	32
190	614	28
191	616	25
192	619	22
193	622	19
194	624	16
195	627	12
196	630	9
197	633	6
198	635	3
199	638	0
